Platform,Manufacturer,Drug (Brand),Drug (Generic),Condition(s),FDA Indication,Insurance Eligible?,Medicare/Medicaid Eligible?,Income Requirement?,Monthly Cash Price,Price Notes,Eligibility Notes,Platform URL,Last Verified,Data Status
AmgenNow,Amgen,"Amjevita — AmgenNow Cash + Copay [40mg/0.4mL autoinjector · 40mg/0.8mL · 80mg/0.8mL · syringes 10/20/40mg]",adalimumab-atto,Rheumatology/Autoimmune,"Rheumatoid arthritis; psoriatic arthritis; juvenile idiopathic arthritis; ankylosing spondylitis; Crohn's disease; plaque psoriasis; ulcerative colitis. TNF blocker biosimilar of Humira.",Yes — true cash-pay (no insurance required); also copay card for commercially insured,"YES — Medicare/Medicaid explicitly included WITH conditions (same as Repatha — must waive govt insurance for ALL Amgen Rx for entire calendar year)",No,"$299/mo cash · $0/mo copay card","Cash: $299/mo (2 autoinjectors 40mg/0.4mL · most common formulation). Other formulations: $527–$3,323. Copay card: $0/mo for commercially insured (enrollment at amjevita.com/amjevita-copay-card). No expiry stated.","US patient with valid Rx. No income requirement. Must agree not to use insurance for this purchase. Govt-insured: must waive govt insurance for ALL Amgen Rx for the calendar year. Biosimilar of Humira — CA/MA biosimilar substitution rules may apply. Support: AmgenSupportPlus.com.",https://www.amgennow.com,Mar 2026,Confirmed
BMS Patient Connect,Bristol Myers Squibb,Sotyktu,deucravacitinib,Dermatology,Moderate-to-severe plaque psoriasis,Yes — cash-pay US patients,Not specified — verify,No,$950.00,"86% off $6,868 list. Available since Jan 2026. Ships to all 50 states + Puerto Rico.",Valid Rx required. Cash-pay US patients. No income requirement stated.,https://www.bmspatientsupport.com,Mar 2026,Confirmed
ELIQUIS DTP Program (BMS/Pfizer),Bristol-Myers Squibb + Pfizer,Eliquis — Savings Card (commercially insured) [2.5mg · 5mg tablets],apixaban,Cardiology,"Stroke risk reduction in AFib; DVT treatment and prevention; pulmonary embolism. No generic alternatives available.",Yes — commercially insured,Not specified — government beneficiaries likely excluded from savings card,No,As little as $10/mo (30-day supply),"Co-pay savings card: $10/mo minimum for commercially insured patients. Separate from DTP cash program. 30-day free trial also available (first fill $0 via GoodRx listing). GoodRx coupon price: ~$350/mo as alternative.",Commercially insured patients. Cannot combine with DTP cash program. 30-day free trial available as separate offer.,https://www.pfizerforall.com,Mar 2026,Confirmed
Boehringer Ingelheim Direct,Boehringer Ingelheim,Spiriva Respimat [tiotropium bromide inhalation spray · 2.5mcg/puff],tiotropium bromide,Respiratory,COPD — long-term once-daily maintenance; reduces COPD flare-ups. Not for sudden symptoms or asthma.,Yes — savings card (commercial or uninsured) OR insurance track OR cash self-pay,No — government-insured explicitly excluded from savings card. May use insurance track separately.,No,As little as $35/mo,"Savings card: $35/mo (commercial insured or uninsured — no insurance required for savings card). Government-insured excluded from savings card — must use insurance plan separately. Cash self-pay: $35/mo. Pharmacy: Eversana Life Science Services (NPI: 1548264591). Free shipping. No expiry stated.","Valid Rx required. US patient. No income requirement. Government-funded program patients excluded from savings card (Medicare/Medicaid/VA/TRICARE). Availability may vary by state. FSA/HSA accepted. No enrollment required. Shipping included (may vary in future).",https://www.boehringer-ingelheim.com/us/direct/medicines/spiriva-respimat,Mar 2026,Confirmed
Boehringer Ingelheim Direct,Boehringer Ingelheim,Striverdi Respimat [olodaterol inhalation spray · 2.5mcg],olodaterol,Respiratory,COPD — long-term maintenance treatment in adults (2 puffs once daily). Not for sudden symptoms or asthma.,Yes — true cash-pay (insurance cannot be used at any time),Yes — government-insured explicitly allowed WITH conditions (cannot seek reimbursement or count toward deductible/OOP),No,$35.00/mo,"Cash-only: $35/30-day fill. Insurance cannot be billed at any time. Government-insured may purchase but must: not seek reimbursement; not count toward deductible/OOP; notify insurer purchase was made outside plan. Pharmacy: HealthDyne (NPI: 1265083729). Free USPS shipping (7–10 business days). No expiry stated.","US patient. Valid Rx required. No insurance claim permitted (primary/secondary/commercial/employer/government/supplemental). HSA/FSA accepted. Account creation required at BoehringerDirect.HealthDyne.com. No enrollment caps. No income requirement.",https://www.boehringer-ingelheim.com/us/direct/medicines/striverdi-respimat,Mar 2026,Confirmed
Boehringer Ingelheim Direct,Boehringer Ingelheim,"Jentadueto [linagliptin/metformin HCl tablets · 2.5mg/500mg · 2.5mg/850mg · 2.5mg/1000mg]","linagliptin / metformin HCl",Diabetes,Type 2 diabetes — used with diet and exercise to lower blood sugar in adults. Not for type 1 diabetes.,Yes — true cash-pay (insurance cannot be used at any time),Yes — government-insured explicitly allowed WITH conditions (same as Striverdi),No,$55.00/mo,"Cash-only: $55/30-day fill. Insurance cannot be billed at any time. Government-insured may purchase but must: not seek reimbursement; not count toward deductible/OOP; notify insurer. Pharmacy: HealthDyne (NPI: 1265083729). Free USPS shipping (7–10 business days). No expiry stated.","US patient. Valid Rx required. No insurance claim permitted. HSA/FSA accepted. Account at BoehringerDirect.HealthDyne.com required. No income requirement. Not for type 1 diabetes.",https://www.boehringer-ingelheim.com/us/direct/medicines/jentadueto,Mar 2026,Confirmed
Boehringer Ingelheim Direct,Boehringer Ingelheim,"Jentadueto XR [linagliptin/metformin HCl ER tablets · 2.5mg/1000mg · 5mg/1000mg]","linagliptin / metformin HCl (extended-release)",Diabetes,Type 2 diabetes — used with diet and exercise to lower blood sugar in adults. Not for type 1 diabetes.,Yes — true cash-pay (insurance cannot be used at any time),Yes — government-insured explicitly allowed WITH conditions (same as Jentadueto),No,$55.00/mo,"Cash-only: $55/30-day fill. Same terms as Jentadueto. Insurance cannot be billed at any time. Pharmacy: HealthDyne (NPI: 1265083729). Free USPS shipping (7–10 business days). No expiry stated.","US patient. Valid Rx required. No insurance claim permitted. HSA/FSA accepted. Account at BoehringerDirect.HealthDyne.com required. No income requirement. Not for type 1 diabetes.",https://www.boehringer-ingelheim.com/us/direct/medicines/jentadueto-xr,Mar 2026,Confirmed
Novartis Direct,Novartis,"Cosentyx — Direct-to-Patient Program A (Sensoready Pen 150mg · UnoReady Pen 300mg · Prefilled Syringe 150mg)",secukinumab,"Dermatology, Immunology, Rheumatology","Moderate-to-severe plaque psoriasis (PsO) adults and children 6+; psoriatic arthritis (PsA) adults and children 2+; ankylosing spondylitis (AS) adults; nr-axSpA adults; enthesitis-related arthritis (ERA) children 4+; hidradenitis suppurativa (HS) adults and children 12+","Yes — true cash-pay only (insurance explicitly NOT accepted per T&Cs)","Allowed WITH restrictions — may not seek reimbursement or count toward federal plan deductible/OOP","No","$3,434.05/mo","55% off list price ($8,492.03/mo list as of Jan 2026). Note: main treatment cost page shows $3,674.44/dose — discrepancy may reflect different page update dates (DTP subpage used as authoritative). T&Cs: price subject to change at any time. Insurance cannot be used. Fulfilled through ASPN Pharmacies / Thrifty White Pharmacy. Payment: credit card, HSA, FSA, Apple Pay. No expiry stated. Material dated 9/25 FA-11507192.","Valid US prescription required. US residents only (incl. territories). Cannot be combined with any other Novartis offer or program. Medicare/Medicaid beneficiaries may purchase but must: not seek reimbursement; not count toward deductible/OOP. NPAF (no-cost PAP) also available for government-insured patients who cannot afford the cash price.",https://www.cosentyx.com/all/treatment-cost/direct-to-patient,Mar 2026,Confirmed
Novartis Direct,Novartis,"Cosentyx — Direct-to-Patient Program B (Prefilled Syringe 75mg — pediatric dosing)",secukinumab,"Dermatology, Immunology, Rheumatology","Moderate-to-severe plaque psoriasis (PsO) children 6+; psoriatic arthritis (PsA) children 2+ (pediatric weight-based dosing)","Yes — true cash-pay only (insurance explicitly NOT accepted per T&Cs)","Allowed WITH restrictions — may not seek reimbursement or count toward federal plan deductible/OOP","No","$1,717.02/mo","55% off list price. Pediatric dosing formulation. Same DTP terms as Program A. No expiry stated.","Valid US prescription required. US residents only (incl. territories). Cannot be combined with any other Novartis offer or program.",https://www.cosentyx.com/all/treatment-cost/direct-to-patient,Mar 2026,Confirmed
Novartis Direct,Novartis,"Cosentyx — Co-Pay Plus (commercially insured)",secukinumab,"Dermatology, Immunology, Rheumatology","Same as above — all approved indications","Yes — commercial/private insurance required","No — explicitly excluded: Medicare, Medicaid, TRICARE, VA, any federal or state health plan","No","As little as $0/mo","Co-pay savings for commercially insured patients. Subject to annual co-pay benefit limit. Not available if plan reimburses 100% of drug cost or provides zero coverage for drug. Novartis may discontinue assistance if patient is subject to a co-pay maximizer program. Infusion administration cost support not available in Rhode Island or Massachusetts. No expiry stated.","Commercial insurance required. Valid Rx required. US and Puerto Rico only. Infusion admin support excludes RI and MA. Excluded: Medicare, Medicaid, TRICARE, VA, any federal/state health plan. Only patient, legal guardian, or caregiver may enroll.",https://www.cosentyx.com/all/treatment-cost,Mar 2026,Confirmed
Novartis Direct,Novartis,"Cosentyx — Covered Until You're Covered (prior auth denied · subcutaneous only)",secukinumab,"Dermatology, Immunology, Rheumatology","Same as above — all approved subcutaneous (self-injectable) indications. IV infusion NOT eligible.","Yes — private insurance required WITH prior authorization denial documentation","No — explicitly excluded: Medicare, Medicaid, TRICARE, VA, any federal or state program","No","$0/mo for up to 2 years","Free COSENTYX subcutaneous injection provided for up to 2 years or until insurance approves coverage, whichever comes first. Must submit appeal of coverage denial within first 90 days of enrollment. Patients may be re-verified during the program. No expiry stated.","Private insurance required. Prior authorization denial required. Valid Rx required. Must appeal denial within 90 days. Subcutaneous injection only — IV infusion not eligible. Not available: Medicare, Medicaid, TRICARE, VA, or any federal/state program.",https://www.cosentyx.com/all/treatment-cost,Mar 2026,Confirmed
Novartis Direct,Novartis,"Mayzent — Direct-to-Patient Program A (2mg tablet · Pack 30 · maintenance dose)",siponimod,Neurology,"Relapsing forms of multiple sclerosis (MS) in adults — including clinically isolated syndrome; relapsing-remitting disease; active secondary progressive disease","Yes — true cash-pay only (insurance explicitly NOT accepted per T&Cs)","Allowed WITH restrictions — may not seek reimbursement or count toward federal plan deductible/OOP","No","$1,073.10/pack (30ct)","90–92% off list price. Capped at no more than $1,073.10 per package. Certain dosage forms/strengths may not be available at DTP prices. Fulfilled through ASPN Pharmacies / Thrifty White Pharmacy. No expiry stated. Material dated 9/25 FA-11248317.","Valid US prescription required (from current HCP). US residents only (incl. territories). HIPAA authorization required. Must agree to ASPN T&Cs and Privacy Notice. Cannot be combined with any other Novartis offer or program. CYP2C9 genotype test required before starting (clinical requirement — not program gating). Medicare/Medicaid beneficiaries may purchase but must not seek reimbursement or count toward federal plan deductible/OOP.",https://mayzent.myaspn.com/,Mar 2026,Confirmed
Novartis Direct,Novartis,"Mayzent — Direct-to-Patient Program B (1mg tablet · Pack 30 · maintenance dose)",siponimod,Neurology,"Relapsing forms of multiple sclerosis (MS) in adults — including clinically isolated syndrome; relapsing-remitting disease; active secondary progressive disease","Yes — true cash-pay only (insurance explicitly NOT accepted per T&Cs)","Allowed WITH restrictions — may not seek reimbursement or count toward federal plan deductible/OOP","No","$930.00/pack (30ct)","90–92% off list price. Same DTP T&Cs as 2mg. Fulfilled through ASPN Pharmacies / Thrifty White Pharmacy. No expiry stated.","Same as Program A. Valid US prescription required. US residents only. HIPAA authorization required. Cannot be combined with any other Novartis offer or program.",https://mayzent.myaspn.com/,Mar 2026,Confirmed
Novartis Direct,Novartis,"Mayzent — Direct-to-Patient Program C (0.25mg titration/starter packs — 28ct · 12ct · 7ct)",siponimod,Neurology,"Relapsing forms of multiple sclerosis (MS) in adults — titration packs for dose escalation at treatment initiation","Yes — true cash-pay only (insurance explicitly NOT accepted per T&Cs)","Allowed WITH restrictions — may not seek reimbursement or count toward federal plan deductible/OOP","No","$42–$168 per pack","Titration/starter pack prices: $168 (28ct) · $72 (12ct) · $42 (7ct). 90–92% off list price. Used for dose titration at treatment initiation — not maintenance supply. Same DTP T&Cs as maintenance doses. No expiry stated.","Same as Program A. Valid US prescription required. US residents only. HIPAA authorization required.",https://mayzent.myaspn.com/,Mar 2026,Confirmed
Novartis Direct,Novartis,"Mayzent — Co-Pay Card (commercially insured)",siponimod,Neurology,"Relapsing forms of MS in adults — all approved indications","Yes — commercial/private insurance required","No — explicitly excluded: Medicare, Medicaid, TRICARE, VA, DoD, any federal or state health care program","No","As little as $0/mo","Co-pay savings for commercially insured patients. Annual combined limit of $18,000 (Co-Pay Card + Payment Card + Rebate combined). Patient responsible for all costs once annual limit reached. Cannot be combined with third-party rebate, coupon, or offer. Not available if plan reimburses 100% of drug cost or if patient is not using insurance at all. No expiry stated.","Commercial/private insurance required. Valid Rx required. US and Puerto Rico only. Excluded: Medicare, Medicaid, TRICARE, VA, DoD, any federal/state program. Patient may not seek reimbursement from health plans, FSA, HSA, or health care savings accounts. Proof of purchase may be required.",https://www.mayzent.com/,Mar 2026,Confirmed
Novartis Direct,Novartis,"Mayzent — Medical Co-Pay (initial assessments & first-dose observations · commercially insured)",siponimod,Neurology,"Relapsing forms of MS in adults — covers initial medical assessments and first-dose observations (FDOs) only","Yes — commercial/private insurance required","No — explicitly excluded: Medicare, Medicaid, TRICARE, VA, any federal or state program. Also excluded: Rhode Island residents.","No","Up to $900 reimbursement (after $125 patient deductible)","One-time support for treatment initiation. Covers initial medical assessments/evaluations and first-dose observations (FDOs) only — regardless of whether patient continues on MAYZENT. Patient must report benefits received to insurance company. Not available in Rhode Island. Not applicable to ongoing treatment cost. No expiry stated.","Commercial/private insurance required. Valid Rx required. Not available for RI residents. Patient must report program benefits to insurer.",https://www.mayzent.com/,Mar 2026,Confirmed
Novartis Direct,Novartis,"Rydapt — Direct-to-Patient (25mg capsules · Pack 56 · ~14-day supply at AML induction dosing)",midostaurin,Oncology,"AML with FLT3 mutations (FLT3-ITD or FLT3-TKD) in combination with standard induction/consolidation chemo; advanced systemic mastocytosis (ASM); SM with associated hematological neoplasm (SM-AHN); mast cell leukemia (MCL). Note: FDA indication not stated on ASPN enrollment page — sourced from standard drug labeling.","Yes — true cash-pay only (insurance explicitly NOT accepted per T&Cs)","Allowed WITH restrictions — may not seek reimbursement or count toward federal plan deductible/OOP","No","$2,908.64 per 56ct pack · $5,817.28 per 112ct pack","78% off list price. Pack Size 56 is likely a ~14-day supply at standard AML induction dosing (50mg BID = 4 caps/day); Pack Size 112 is likely a 28-day supply at standard SM maintenance dosing (100mg BID = 8 caps/day). Monthly cost: ~$5,817.28 for SM continuous dosing. No co-pay or PAP programs listed on enrollment page — check rydapt.com for additional financial support options. Fulfilled through ASPN Pharmacies / Thrifty White Pharmacy. No expiry stated.","Valid US prescription required (from current HCP). US residents only (incl. territories). HIPAA authorization required. Must agree to ASPN T&Cs and Privacy Notice. Cell phone number + text consent required for ASPN processing. Cannot be combined with any other Novartis offer or program. Medicare/Medicaid beneficiaries may purchase but must not seek reimbursement or count toward federal plan deductible/OOP.",https://rydapt.myaspn.com/,Mar 2026,Confirmed
Novartis Direct,Novartis,"Tabrecta — Direct-to-Patient (200mg tablets · 150mg tablets · Pack 56 each)",capmatinib,Oncology,"Metastatic NSCLC in adults whose tumors have a mutation leading to MET exon 14 skipping (METex14). Note: FDA indication not stated on ASPN enrollment page — sourced from standard drug labeling.","Yes — true cash-pay only (insurance explicitly NOT accepted per T&Cs)","Allowed WITH restrictions — may not seek reimbursement or count toward federal plan deductible/OOP","No","$2,649.92 per 200mg 56ct pack · $2,669.52 per 150mg 56ct pack","77% off list price. Capped at no more than $2,669.52 per package. Pack Size 56 is likely a ~14-day supply at standard dosing (400mg BID = 4 × 200mg tabs/day; or 300mg BID with 150mg for renal impairment). Monthly cost: approximately double the per-pack price (~$5,299–$5,339/mo). Same DTP T&Cs as other Novartis ASPN programs. No co-pay or PAP programs listed on enrollment page — check tabrecta.com for additional financial support. Fulfilled through ASPN Pharmacies / Thrifty White Pharmacy. No expiry stated.","Valid US prescription required (from current HCP). US residents only (incl. territories). HIPAA authorization required. Must agree to ASPN T&Cs and Privacy Notice. Cell phone number + text consent required for ASPN processing. Cannot be combined with any other Novartis offer or program. Medicare/Medicaid beneficiaries may purchase but must not seek reimbursement or count toward federal plan deductible/OOP.",https://tabrecta.myaspn.com/,Mar 2026,Confirmed
GSK for You,GSK,"Advair Diskus (fluticasone propionate/salmeterol inhalation powder · 100mcg · 250mcg · 500mcg)","fluticasone propionate and salmeterol","Respiratory","Asthma (maintenance, 12+); COPD maintenance treatment. Note: FDA indication not stated on program page — sourced from standard drug labeling.","Yes — true cash-pay only (insurance explicitly NOT accepted — commercial AND government insurance excluded from billing)","Allowed WITH restrictions — may not seek reimbursement; may not count toward TrOOP or deductible; must notify government insurer of out-of-plan purchase","No","$35.27 (100mcg) · $44.31 (250mcg) · $64.07 (500mcg)","True cash-pay DTP pricing. +$25 processing and shipping fee per order. Prescription filled exactly as written — no generic substitution. Program available through end of calendar year; GSK may modify or discontinue at any time. Fulfilled through Alto Pharmacy (a Fuze Health company) — NPI: 1295409506 / NCPDP: 5675408. ©2024 GSK.","Valid US prescription required. US residents only (incl. DC, PR, Guam, NMI, American Samoa, USVI). Must pay out-of-pocket with cash or cash equivalent (credit/debit card). Cannot use insurance to pay or seek reimbursement. Government-insured may purchase but must not seek reimbursement, not count toward TrOOP/deductible, and must notify their insurer. No income requirement.",https://gskforyou.com/programs/direct-to-you/,Mar 2026,Confirmed
GSK for You,GSK,"Advair HFA (fluticasone propionate/salmeterol inhalation aerosol · 45mcg · 115mcg · 230mcg)","fluticasone propionate and salmeterol","Respiratory","Asthma maintenance treatment (4+). Note: Advair HFA is NOT indicated for COPD — asthma only. FDA indication not stated on program page — sourced from standard drug labeling.","Yes — true cash-pay only (insurance explicitly NOT accepted)","Allowed WITH restrictions — same as Advair Diskus","No","$125.40 (45mcg) · $159.46 (115mcg) · $219.86 (230mcg)","Same program T&Cs as Advair Diskus. +$25 processing and shipping fee per order. Prescription filled exactly as written — no generic substitution. Fulfilled through Alto Pharmacy. No expiry per se — available through end of calendar year.","Same as Advair Diskus. Valid US prescription required. US residents only. No insurance claim permitted.",https://gskforyou.com/programs/direct-to-you/,Mar 2026,Confirmed
GSK for You,GSK,"Anoro Ellipta (umeclidinium 62.5mcg / vilanterol 25mcg inhalation powder · single strength)",umeclidinium and vilanterol,Respiratory,"COPD maintenance treatment in adults. Once-daily LABA/LAMA combination. Note: FDA indication not stated on program page — sourced from standard drug labeling.","Yes — true cash-pay only (insurance explicitly NOT accepted)","Allowed WITH restrictions — same as Advair Diskus","No","$222.94","Same program T&Cs. +$25 processing and shipping fee per order. Fulfilled through Alto Pharmacy. Available through end of calendar year.","Same as Advair Diskus. Valid US prescription required. US residents only. No insurance claim permitted.",https://gskforyou.com/programs/direct-to-you/,Mar 2026,Confirmed
GSK for You,GSK,"Arnuity Ellipta (fluticasone furoate inhalation powder · 50mcg · 100mcg · 200mcg)",fluticasone furoate,Respiratory,"Asthma maintenance treatment in patients 5+. Once-daily inhaled corticosteroid. Note: FDA indication not stated on program page — sourced from standard drug labeling.","Yes — true cash-pay only (insurance explicitly NOT accepted)","Allowed WITH restrictions — same as Advair Diskus","No","$77.98 (50mcg) · $77.98 (100mcg) · $104.40 (200mcg)","Same program T&Cs. +$25 processing and shipping fee per order. Fulfilled through Alto Pharmacy. Available through end of calendar year.","Same as Advair Diskus. Valid US prescription required. US residents only. No insurance claim permitted.",https://gskforyou.com/programs/direct-to-you/,Mar 2026,Confirmed
GSK for You,GSK,"Incruse Ellipta (umeclidinium 62.5mcg inhalation powder · single strength)",umeclidinium,Respiratory,"COPD maintenance treatment in adults. Once-daily LAMA. Note: FDA indication not stated on program page — sourced from standard drug labeling.","Yes — true cash-pay only (insurance explicitly NOT accepted)","Allowed WITH restrictions — same as Advair Diskus","No","$134.20","Same program T&Cs. +$25 processing and shipping fee per order. Fulfilled through Alto Pharmacy. Available through end of calendar year.","Same as Advair Diskus. Valid US prescription required. US residents only. No insurance claim permitted.",https://gskforyou.com/programs/direct-to-you/,Mar 2026,Confirmed
GSK for You,GSK,"Ventolin HFA (albuterol sulfate inhalation aerosol · single strength)",albuterol sulfate,Respiratory,"Treatment or prevention of bronchospasm in patients 4+ with reversible obstructive airway disease; exercise-induced bronchospasm. Note: FDA indication not stated on program page — sourced from standard drug labeling.","Yes — true cash-pay only (insurance explicitly NOT accepted)","Allowed WITH restrictions — same as Advair Diskus","No","$25.80","Lowest-priced product in the program. +$25 processing and shipping fee per order applies — fee may approach or exceed drug cost for single inhaler orders. Fulfilled through Alto Pharmacy. Available through end of calendar year.","Same as Advair Diskus. Valid US prescription required. US residents only. No insurance claim permitted. Note: generic albuterol inhalers exist — this program prohibits informing patients of generic alternatives per T&Cs.",https://gskforyou.com/programs/direct-to-you/,Mar 2026,Confirmed
GSK for You,GSK,"Relenza (zanamivir inhalation powder · 20mg per Rotadisk · 5 Rotadisks per pack · 4 blisters each)",zanamivir,"Infectious Disease","Treatment of influenza A and B in adults and children 7+ (treatment) or 5+ (prophylaxis) who have been symptomatic for no more than 2 days. Note: FDA indication not stated on program page — sourced from standard drug labeling.","Yes — true cash-pay only (insurance explicitly NOT accepted)","Allowed WITH restrictions — same as Advair Diskus","No","$27.90","Same program T&Cs. +$25 processing and shipping fee per order. Fulfilled through Alto Pharmacy. Available through end of calendar year.","Same as Advair Diskus. Valid US prescription required. US residents only. No insurance claim permitted.",https://gskforyou.com/programs/direct-to-you/,Mar 2026,Confirmed
GSK for You,GSK,"Malarone Pediatric Tablets (atovaquone 62.5mg / proguanil HCl 25mg)",atovaquone and proguanil HCl,"Infectious Disease","Prevention and treatment of Plasmodium falciparum malaria in pediatric patients. Note: FDA indication not stated on program page — sourced from standard drug labeling.","Yes — true cash-pay only (insurance explicitly NOT accepted)","Allowed WITH restrictions — same as Advair Diskus","No","$92.74","Same program T&Cs. +$25 processing and shipping fee per order. Fulfilled through Alto Pharmacy. Available through end of calendar year. Note: adult Malarone formulation not listed on program page — pediatric only.","Same as Advair Diskus. Valid US prescription required. US residents only. No insurance claim permitted.",https://gskforyou.com/programs/direct-to-you/,Mar 2026,Confirmed
